evNum	picoTimeMs	adcAtEvent	rateOverall 
1149	1010300	58	1.14
1150	1010356	40	1.14
1151	1011465	93	1.14
1152	1013477	32	1.14
1153	1014604	70	1.14
1154	1014652	146	1.14
1155	1014823	86	1.14
1156	1016124	75	1.14
1157	1016216	33	1.14
1158	1016300	54	1.14
1159	1017057	51	1.14
1160	1017742	47	1.14
1161	1018325	149	1.14
1162	1018532	42	1.14
1163	1018607	63	1.14
1164	1020028	39	1.14
1165	1021907	54	1.14
1166	1022366	42	1.14
1167	1022561	46	1.14
1168	1022610	133	1.14
1169	1023555	45	1.14
1170	1026171	37	1.14
1171	1026296	86	1.14
1172	1027184	40	1.14
1173	1027973	113	1.14
1174	1028827	58	1.14
1175	1029697	49	1.14
1176	1029976	37	1.14
1177	1030701	37	1.14
1178	1030971	49	1.14
1179	1031906	182	1.14
1180	1032840	39	1.14
1181	1032943	43	1.14
1182	1033061	33	1.14
1183	1033202	102	1.14
1184	1034270	46	1.14
1185	1035576	60	1.14
1186	1035606	30	1.15
1187	1035647	122	1.15
1188	1036001	32	1.15
1189	1037754	63	1.15
1190	1039433	56	1.14
1191	1042044	38	1.14
1192	1042958	46	1.14
1193	1043651	51	1.14
1194	1044678	38	1.14
1195	1045337	67	1.14
1196	1046083	33	1.14
1197	1046808	55	1.14
1198	1048203	65	1.14
1199	1048313	69	1.14
1200	1050129	58	1.14
1201	1050940	143	1.14
1202	1051750	32	1.14
1203	1051870	56	1.14
