evNum	TimeMs	adcAtEvent	rateOverall
1076	928915	39	1.16
1077	929285	30	1.16
1078	929514	89	1.16
1079	929586	234	1.16
1080	929837	38	1.16
1081	930628	32	1.16
1082	931687	57	1.16
1083	932052	41	1.16
1084	932458	47	1.16
1085	932742	32	1.16
1086	934681	63	1.16
1087	934934	102	1.16
1088	935402	293	1.16
1089	935454	33	1.16
1090	936060	36	1.16
1091	936954	34	1.16
1092	937004	30	1.17
1093	937282	93	1.17
1094	938353	174	1.17
1095	938988	53	1.17
1096	939608	43	1.17
1097	941785	39	1.16
1098	941812	111	1.17
1099	942364	36	1.17
1100	942481	38	1.17
1101	942746	31	1.17
1102	943495	33	1.17
1103	943922	38	1.17
1104	944460	71	1.17
1105	946554	53	1.17
1106	946811	51	1.17
1107	947720	55	1.17
1108	948247	134	1.17
1109	948502	37	1.17
1110	951914	61	1.17
1111	953407	44	1.17
1112	954184	61	1.17
1113	956059	36	1.16
1114	956127	174	1.17
1115	956424	35	1.17
1116	957898	117	1.17
1117	958821	34	1.16
1118	959070	321	1.17
1119	961412	42	1.16
1120	962848	44	1.16
1121	963181	37	1.16
1122	963980	131	1.16
1123	964579	59	1.16
1124	964693	53	1.17
1125	965371	58	1.17
1126	965750	67	1.17
1127	967365	42	1.17
1128	967800	141	1.17
1129	969690	71	1.16
1130	971823	30	1.16
1131	972405	41	1.16
1132	974884	43	1.16
1133	975039	57	1.16
1134	976421	35	1.16
1135	976479	35	1.16
1136	976836	266	1.16
1137	980251	44	1.16
1138	982138	38	1.16
1139	982155	31	1.16
1140	982343	49	1.16
1141	983020	47	1.16
1142	983565	38	1.16
1143	983671	32	1.16
1144	984543	63	1.16
1145	985261	117	1.16
1146	985689	145	1.16
1147	985726	37	1.16
1148	985815	32	1.16
1149	988054	35	1.16
1150	989032	66	1.16
1151	992817	39	1.16
1152	993238	43	1.16
1153	993845	138	1.16
1154	994975	51	1.16
1155	995607	363	1.16
1156	996465	90	1.16
1157	996492	59	1.16
1158	996707	32	1.16
1159	996849	38	1.16
1160	997577	31	1.16
1161	999451	71	1.16
1162	999491	88	1.16
1163	1000388	57	1.16
1164	1001207	83	1.16
1165	1002204	39	1.16
1166	1002531	35	1.16
1167	1003159	150	1.16
1168	1004776	36	1.16
1169	1005802	30	1.16
1170	1006489	44	1.16
1171	1007048	35	1.16
1172	1007238	36	1.16
1173	1007486	78	1.16
1174	1007926	62	1.16
1175	1008761	38	1.16
1176	1008885	31	1.17
1177	1011265	33	1.16
1178	1012463	39	1.16
1179	1012934	51	1.16
1180	1013396	75	1.16
1181	1013986	32	1.16
1182	1015301	35	1.16
1183	1015702	36	1.16
1184	1016131	181	1.17
1185	1016501	40	1.17
1186	1016537	37	1.17
1187	1018477	72	1.17
1188	1018492	30	1.17
1189	1019248	74	1.17
1190	1020394	30	1.17
1191	1021931	302	1.17
1192	1022769	62	1.17
1193	1023950	46	1.17
1194	1024356	49	1.17
1195	1024831	66	1.17
1196	1026582	35	1.17
1197	1027039	86	1.17
1198	1028028	47	1.17
1199	1030977	30	1.16
1200	1032494	31	1.16
1201	1032674	61	1.16
1202	1033019	89	1.16
1203	1033941	63	1.16
1204	1039369	34	1.16
1205	1039434	54	1.16
1206	1039989	34	1.16
1207	1040662	30	1.16
1208	1042232	33	1.16
1209	1043243	50	1.16
1210	1044378	40	1.16
1211	1045824	117	1.16
1212	1046511	57	1.16
1213	1047394	36	1.16
1214	1047719	45	1.16
